freq,unit,vehicle,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,CAR,DE	84.5 	84.4 	84.3 	84.0 	83.9 	83.3 	88.8 	88.8 	84.7 	83.5 
A,PC,CAR,DK	80.6 e	81.0 e	81.5 e	81.6 e	82.0 e	82.7 e	87.2 e	86.9 e	81.2 e	81.8 e
A,PC,CAR,EE	84.0 e	82.3 e	79.8 e	80.2 e	80.4 e	79.9 e	88.2 e	89.3 e	85.6 e	83.6 e
A,PC,CAR,EL	81.4 e	81.4 e	81.9 e	82.5 e	82.7 e	83.0 e	86.7 e	87.1 e	84.6 e	84.8 e
A,PC,CAR,ES	82.7 	81.4 	83.7 be	86.4 e	86.2 e	86.0 e	90.3 e	88.3 e	85.5 e	83.9 e
A,PC,CAR,EU27_2020	82.5 be	82.5 e	82.8 be	83.1 e	83.0 e	82.8 e	87.2 e	86.7 e	83.6 e	83.1 e
A,PC,CAR,EU28	83.0 be	83.0 e	83.3 be	83.5 e	83.5 e	82.8 e	: 	: 	: 	: 
A,PC,CAR,FI	85.2 	85.0 	84.6 b	84.2 	84.2 	83.9 	87.0 	87.7 	84.2 	83.0 
A,PC,CAR,FR	84.6 	84.5 	84.6 	84.6 	84.8 	84.4 	87.8 	86.6 	84.5 	83.7 
A,PC,CAR,HR	85.1 	85.9 	85.0 	84.3 	84.8 	84.2 	88.9 	88.8 	85.5 	83.9 
A,PC,CAR,HU	68.6 	69.5 e	69.2 e	70.0 e	71.9 e	72.9 e	78.8 e	79.3 e	76.2 e	75.5 e
A,PC,CAR,IE	82.3 e	83.3 e	83.4 e	82.6 e	81.7 e	81.8 e	86.1 e	85.7 e	81.6 e	79.5 e
A,PC,CAR,IS	88.6 e	88.6 e	88.6 e	88.6 e	88.6 e	88.6 e	88.6 e	88.6 e	88.6 e	87.1 e
A,PC,CAR,IT	80.8 	81.4 	82.0 	82.7 	82.0 	82.0 	85.0 	84.7 	81.7 	83.3 e
A,PC,CAR,LT	88.3 	89.2 	89.9 	91.1 	90.4 	90.6 e	94.2 e	94.7 e	92.9 e	92.1 e
A,PC,CAR,LU	83.6 e	82.9 e	83.1 e	82.9 e	82.9 e	82.6 e	86.6 e	86.3 e	83.1 e	82.7 e
A,PC,CAR,LV	79.0 	80.7 	81.5 	82.7 	82.7 	82.8 	87.7 	88.5 	84.7 	84.2 
A,PC,CAR,ME	95.6 e	95.5 e	95.8 e	96.4 e	96.4 e	96.6 e	98.6 e	98.5 e	98.0 e	97.8 e
A,PC,CAR,MK	72.6 	74.0 	77.0 	77.2 	76.4 	78.6 	93.4 	94.3 	91.0 	92.3 e
A,PC,CAR,MT	83.1 e	82.3 e	82.6 e	82.5 e	82.5 e	81.8 e	86.1 e	85.9 e	82.9 e	82.1 e
A,PC,CAR,NL	85.5 e	86.2 e	86.0 e	85.7 e	85.6 e	85.6 e	90.1 e	89.4 e	85.5 e	85.3 e
A,PC,CAR,NO	89.8 	89.4 e	89.1 e	88.1 e	87.8 e	87.6 e	92.1 e	92.3 e	90.2 e	89.0 e
A,PC,CAR,PL	78.2 e	78.7 e	79.3 e	79.7 e	80.4 e	79.9 e	87.6 e	86.2 e	82.7 e	82.0 e
A,PC,CAR,PT	91.0 e	90.0 e	90.4 e	89.6 e	89.5 e	89.3 e	93.0 e	91.3 e	88.4 e	88.2 e
A,PC,CAR,RO	78.5 e	77.9 e	78.3 e	77.8 e	78.8 e	78.9 e	82.6 e	83.0 e	82.4 e	81.3 e
A,PC,CAR,RS	85.7 e	84.9 e	86.2 e	86.6 e	85.1 e	86.4 e	89.5 e	88.8 e	86.5 e	86.7 e
A,PC,CAR,SE	83.5 e	83.2 e	80.5 e	80.4 e	80.4 e	79.5 e	84.0 e	84.1 e	81.0 e	81.8 e
A,PC,CAR,SI	86.3 e	86.1 e	86.1 e	86.5 e	86.5 e	86.7 e	90.0 e	88.4 e	86.1 e	85.5 e
A,PC,CAR,SK	77.6 e	74.9 e	74.6 e	75.5 e	75.8 e	75.7 e	81.1 e	83.3 e	79.0 e	78.3 e
A,PC,CAR,TR	65.2 	67.9 	70.3 	70.5 e	68.7 	69.8 	74.1 	75.4 e	71.4 e	74.1 
A,PC,CAR,UK	86.2 	86.1 	86.7 	86.4 e	86.8 e	82.7 e	: 	: 	: 	: 
A,PC,TRN,AT	12.2 	12.1 	12.1 	12.0 	12.4 e	12.4 e	8.8 e	9.3 e	12.6 e	13.6 e
A,PC,TRN,BE	8.2 be	8.0 e	7.7 e	7.9 e	8.9 e	9.0 e	7.3 e	6.9 e	9.2 e	9.4 e
A,PC,TRN,BG	2.6 e	2.3 e	2.2 e	2.1 e	2.2 e	2.2 e	2.0 e	2.1 e	2.5 e	2.4 e
A,PC,TRN,CH	19.6 e	19.7 e	19.8 e	19.6 e	19.3 e	20.0 e	15.5 e	15.8 e	19.4 e	21.2 e
A,PC,TRN,CY	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,PC,TRN,CZ	8.4 e	8.7 	9.1 	9.5 	9.8 	10.0 	7.8 	6.5 	8.4 	9.0 
A,PC,TRN,DE	8.3 	8.2 	8.4 	8.7 	8.9 	9.3 	6.3 	6.3 	9.3 	9.9 
A,PC,TRN,DK	9.7 e	9.3 e	8.7 e	8.5 e	8.4 e	8.1 e	5.9 e	6.1 e	7.8 e	7.9 e
A,PC,TRN,EE	2.0 e	1.9 e	2.0 e	2.2 e	2.5 e	2.2 e	1.9 e	2.0 e	2.3 e	2.3 e
A,PC,TRN,EL	0.9 e	1.0 e	1.0 e	0.9 e	0.9 e	1.0 e	0.6 e	0.6 e	0.9 e	0.5 e
A,PC,TRN,ES	6.7 	6.7 	5.8 be	6.4 e	6.5 e	6.5 e	3.8 e	4.2 e	6.1 e	7.3 e
A,PC,TRN,EU27_2020	7.6 be	7.6 e	7.5 be	7.6 e	7.7 e	7.9 e	5.5 e	5.7 e	7.9 e	8.4 e
A,PC,TRN,EU28	7.7 be	7.7 e	7.7 be	7.7 e	7.8 e	8.3 e	: 	: 	: 	: 
A,PC,TRN,FI	5.0 	5.3 	4.9 b	5.4 	5.7 	6.2 	3.8 	4.0 	6.4 	7.1 
A,PC,TRN,FR	9.9 	9.9 	9.8 	9.8 	9.5 	9.9 	7.3 	8.6 	10.5 	11.1 
A,PC,TRN,HR	3.0 	3.1 	2.7 	2.4 	2.5 	2.4 	2.0 	2.1 	2.9 	4.0 
A,PC,TRN,HU	10.0 	9.7 e	9.2 e	8.9 e	8.7 e	8.4 e	6.0 e	6.4 e	8.2 e	10.0 e
A,PC,TRN,IE	3.0 e	3.1 e	3.0 e	3.1 e	3.3 e	3.3 e	1.4 e	1.4 e	2.5 e	3.0 e
A,PC,TRN,IS	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,PC,TRN,IT	6.3 	6.3 	6.1 	5.9 	6.3 	6.3 	4.1 	4.0 	6.3 	6.8 e
A,PC,TRN,LT	1.0 	0.9 	1.0 	0.9 	1.1 	1.0 e	0.8 e	0.9 e	1.1 e	1.0 e
A,PC,TRN,LU	4.3 e	4.7 e	4.6 e	4.7 e	4.7 e	4.8 e	3.3 e	3.5 e	4.1 e	5.0 e
A,PC,TRN,LV	4.0 	3.5 	3.4 	3.3 	3.4 	3.4 	2.5 	2.4 	3.6 	3.8 
A,PC,TRN,ME	1.8 e	1.9 e	1.8 e	1.3 e	1.3 e	1.2 e	0.7 e	0.8 e	1.0 e	1.2 e
A,PC,TRN,MK	0.9 	1.9 	0.9 	0.6 	0.6 	0.6 	0.2 	0.2 	0.4 	0.2 e
A,PC,TRN,MT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,PC,TRN,NL	11.8 e	10.8 e	11.0 e	11.4 e	11.2 e	11.2 e	7.8 e	8.4 e	11.6 e	12.0 e
A,PC,TRN,NO	4.9 	4.9 e	5.0 e	5.5 e	5.7 e	5.6 e	3.1 e	2.9 e	4.7 e	5.3 e
A,PC,TRN,PL	6.3 e	6.7 e	7.1 e	7.3 e	7.4 e	7.6 e	4.9 e	5.9 e	8.3 e	8.5 e
A,PC,TRN,PT	4.2 e	4.2 e	4.3 e	4.4 e	4.3 e	4.6 e	2.8 e	2.9 e	4.0 e	4.2 e
A,PC,TRN,RO	4.6 e	4.5 e	4.1 e	4.5 e	4.2 e	4.2 e	3.1 e	3.3 e	4.1 e	4.0 e
A,PC,TRN,RS	1.4 e	1.5 e	1.3 e	1.1 e	1.0 e	0.8 e	0.5 e	0.6 e	1.1 e	1.3 e
A,PC,TRN,SE	9.2 e	9.5 e	11.0 e	11.2 e	11.3 e	12.2 e	7.6 e	7.5 e	11.0 e	10.6 e
A,PC,TRN,SI	2.1 e	2.1 e	2.0 e	1.8 e	1.8 e	1.8 e	1.4 e	2.1 e	2.4 e	2.6 e
A,PC,TRN,SK	7.4 e	9.3 e	9.3 e	10.1 e	10.1 e	10.5 e	7.0 e	6.1 e	8.8 e	9.2 e
A,PC,TRN,TR	1.2 	1.3 	1.1 	1.2 e	1.3 	1.4 	0.5 	0.7 e	1.7 e	1.6 
A,PC,TRN,UK	8.5 	8.7 	8.8 	8.7 e	8.7 e	11.8 e	: 	: 	: 	: 
A,PC,TRN_BUS_TOT_AVD,AT	22.1 	21.9 	22.0 	22.0 	21.5 e	21.4 e	18.0 e	18.2 e	22.1 e	23.1 e
A,PC,TRN_BUS_TOT_AVD,BE	19.6 be	18.9 e	18.2 e	18.2 e	19.1 e	19.3 e	15.4 e	15.1 e	18.8 e	19.6 e
A,PC,TRN_BUS_TOT_AVD,BG	17.7 e	16.9 e	16.3 e	15.2 e	14.2 e	15.3 e	10.6 e	10.1 e	13.1 e	11.2 e
A,PC,TRN_BUS_TOT_AVD,CH	25.4 e	25.6 e	25.7 e	25.5 e	25.2 e	26.1 e	21.8 e	22.1 e	25.7 e	27.5 e
A,PC,TRN_BUS_TOT_AVD,CY	18.2 e	18.7 e	18.6 e	19.0 e	18.9 e	18.5 e	12.7 e	12.7 e	15.6 e	16.5 e
A,PC,TRN_BUS_TOT_AVD,CZ	27.2 e	25.0 	24.7 	25.3 	25.3 	25.0 	18.3 	15.0 	18.8 	19.5 
A,PC,TRN_BUS_TOT_AVD,DE	15.5 	15.6 	15.7 	16.0 	16.1 	16.7 	11.2 	11.2 	15.3 	16.5 
