model,accuracy,f1,precision,recall,roc_auc,cv_f1_mean,cv_f1_std
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0
XGBoost,0.9964,0.9965,0.9969,0.9964,1.0,0.9989,0.0015
