DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE001C,2020,3669491,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE002C,2020,1847253,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE003C,2020,1484226,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE004C,2020,1087863,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE005C,2020,763380,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE006C,2020,582760,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE007C,2020,635911,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE008C,2020,593145,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE009C,2020,556780,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE010C,2020,588250,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE011C,2020,621877,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE012C,2020,567559,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE013C,2020,536925,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE014C,2020,518370,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE015C,2020,365587,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE016C,2020,334195,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE017C,2020,238762,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE018C,2020,237565,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE019C,2020,278474,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE020C,2020,118911,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE021C,2020,170632,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE022C,2020,103902,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE023C,2020,159878,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE024C,2020,111528,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE025C,2020,231195,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE026C,2020,153094,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE027C,2020,57751,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE028C,2020,65228,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE029C,2020,95653,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE030C,2020,213981,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE031C,2020,296582,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE032C,2020,329673,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE033C,2020,312060,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE034C,2020,261034,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE035C,2020,218578,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE036C,2020,246794,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE037C,2020,180374,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE038C,2020,180334,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE039C,2020,114052,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE040C,2020,209191,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE041C,2020,100030,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE042C,2020,92174,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE043C,2020,94145,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE044C,2020,96492,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE045C,2020,76089,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE046C,2020,93584,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE047C,2020,91506,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE048C,2020,85707,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE049C,2020,90164,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE050C,2020,77129,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE051C,2020,84911,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE052C,2020,80196,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE053C,2020,72184,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE054C,2020,89802,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE055C,2020,75711,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE056C,2020,74783,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE057C,2020,69540,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE058C,2020,71002,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE059C,2020,77373,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE060C,2020,64597,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE061C,2020,63761,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE062C,2020,68635,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE063C,2020,69151,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE064C,2020,73411,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE065C,2020,64905,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE066C,2020,63551,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE067C,2020,48762,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE068C,2020,59418,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE069C,2020,61283,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE070C,2020,59967,,
