route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,is_outlier_distance,is_cross_border,distance_category,is_flight_competitive,co2_ratio_train_plane,type_encoded,capacity,passengers_estimated,load_factor,is_underserved
C46,Luneville,Bar Le Duc,day,Luneville → Bar le Duc,FR,FR,99.8,SNCF,day,14,144,1.4,14.37,12.97,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,229,0.7633,0
P55,Metz,Bar Le Duc,day,Metz → Bar le Duc,FR,FR,82.68,SNCF,day,14,144,1.16,11.91,10.75,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,139,0.4633,0
TER,Metz Ville,Bar Le Duc,day,Metz Ville → Bar le Duc,CH,CH,82.7,SNCF (Société Nationale des Chemins de fer Français),day,14,144,1.16,11.91,10.75,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,194,0.6467,0
C44,Nancy,Bar Le Duc,day,Nancy → Bar le Duc,FR,FR,74.48,SNCF,day,14,144,1.04,10.73,9.69,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0969,0,300,179,0.5967,0
801B,Bar Le Duc,Paris Est,day,Bar le Duc → Paris Est,FR,FR,205.92,SNCF,day,14,144,2.88,29.65,26.77,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,212,0.7067,0
C46+,Bar Le Duc,Revigny,day,Bar le Duc → Revigny,FR,FR,14.44,SNCF,day,14,144,0.2,2.08,1.88,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0962,0,300,107,0.3567,0
K1,Bar Le Duc,Strasbourg,day,Bar le Duc → Strasbourg,FR,FR,189.61,SNCF,day,14,144,2.65,27.3,24.65,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,181,0.6033,0
C46+,Toul,Bar Le Duc,day,Toul → Bar le Duc,FR,FR,53.38,SNCF,day,14,144,0.75,7.69,6.94,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,198,0.66,0
INCONNU,Bar Sur Aube College,Laferte Sur Aube,day,Bar Sur Aube College → Laferte Sur Aube,FR,FR,15.47,OCEdefault,day,14,144,0.22,2.23,2.01,90.1,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0987,0,300,90,0.3,0
INCONNU,Laferte Sur Aube,Bar Sur Aube Lycee,day,Laferte Sur Aube → Bar Sur Aube Lycee,FR,FR,15.53,OCEdefault,day,14,144,0.22,2.24,2.02,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0982,0,300,97,0.3233,0
INCONNU,Juvancourt,Bar Sur Aube,day,Juvancourt → Bar Sur Aube,FR,FR,15.44,OCEdefault,day,14,144,0.22,2.22,2.0,90.1,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0991,0,300,90,0.3,0
INCONNU,Troyes,Bar Sur Aube,day,Troyes → Bar Sur Aube,FR,FR,47.92,OCEdefault,day,14,144,0.67,6.9,6.23,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0971,0,300,138,0.46,0
INCONNU,Barcelone Sants,Paris Gare De Lyon Hall 1 2,day,Barcelone Sants → Paris de Lyon Hall 1 2,FR,FR,830.38,OCEdefault,day,14,144,11.63,119.57,107.94,90.3,Back-on-Track 2022,2026-03-22,1,0,tres_long,0,0.0973,0,300,182,0.6067,0
INCONNU,Barcelone Sants,Paris Montparnasse Hall 1 2,day,Barcelone Sants → Paris Montparnasse Hall 1 2,FR,FR,829.88,OCEdefault,day,14,144,11.62,119.5,107.88,90.3,Back-on-Track 2022,2026-03-22,1,0,tres_long,0,0.0972,0,300,218,0.7267,0
C23+,Barr,Molsheim,day,Barr → Molsheim,FR,FR,15.21,SNCF,day,14,144,0.21,2.19,1.98,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0959,0,300,153,0.51,0
C23,Barr,Selestat,day,Barr → Selestat,FR,FR,16.01,SNCF,day,14,144,0.22,2.31,2.09,90.5,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0952,0,300,223,0.7433,0
C23,Strasbourg,Barr,day,Strasbourg → Barr,FR,FR,28.72,SNCF,day,14,144,0.4,4.14,3.74,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0966,0,300,90,0.3,0
P28,Saint Etienne Chateaucreux,Bas Monistrol,day,Saint Etienne Chateaucreux → Bas Monistrol,FR,FR,25.98,SNCF,day,14,144,0.36,3.74,3.38,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0963,0,300,90,0.3,0
Basel Bad Bf → Berlin Ostbahnhof,Basel Bad Bf,Berlin Ostbahnhof,night,Basel Bad → Berlin Ostbahnhof,DE,DE,688.94,DB,night,14,144,9.65,99.21,89.56,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0973,1,200,118,0.59,0
ICE,Basel Bad Bf,Bern,day,Basel Bad → Bern,CH,CH,69.93,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.98,10.07,9.09,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0973,0,300,167,0.5567,0
ICE,Basel Bad Bf,Brig,day,Basel Bad → Brig,CH,CH,141.74,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.98,20.41,18.43,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,149,0.4967,0
EC,Chiasso,Basel Bad Bf,day,Chiasso → Basel Bad,CH,CH,221.41,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.1,31.88,28.78,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,0,300,90,0.3,0
Basel Bad Bf → Chur,Basel Bad Bf,Chur,day,Basel Bad → Chur,DE,DE,165.42,SBB,day,14,144,2.32,23.82,21.5,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0974,0,300,146,0.4867,0
EC,Como S Giovanni,Basel Bad Bf,day,Como S Giovanni → Basel Bad,CH,CH,225.22,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.15,32.43,29.28,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,91,0.3033,0
Düsseldorf Hbf → Basel Bad Bf,Dusseldorf Hbf,Basel Bad Bf,day,Dusseldorf → Basel Bad,DE,DE,410.4,DB,day,14,144,5.75,59.1,53.35,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0973,0,300,180,0.6,0
RB,Basel Bad Bf,Emmendingen,day,Basel Bad → Emmendingen,CH,CH,63.97,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.9,9.21,8.31,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,166,0.5533,0
RB,Erzingen Baden,Basel Bad Bf,day,Erzingen Baden → Basel Bad,CH,CH,62.55,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.88,9.01,8.13,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,108,0.36,0
Essen Hbf → Basel Bad Bf,Essen Hbf,Basel Bad Bf,day,Essen → Basel Bad,DE,DE,434.0,DB,day,14,144,6.08,62.5,56.42,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0973,0,300,127,0.4233,0
RE,Basel Bad Bf,Ettlingen West,day,Basel Bad → Ettlingen West,CH,CH,164.04,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,2.3,23.62,21.32,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0974,0,300,102,0.34,0
Basel Bad Bf → Flensburg,Basel Bad Bf,Flensburg,night,Basel Bad → Flensburg,DE,DE,811.36,DB,night,14,144,11.36,116.84,105.48,90.3,Back-on-Track 2022,2026-03-22,1,0,tres_long,0,0.0972,1,200,118,0.59,0
ECE 85,Basel Bad Bf,Frankfurt Main Hbf,day,Basel Bad → Frankfurt Main,CH,DE,292.73,DB,day,14,144,4.1,42.15,38.05,90.3,Back-on-Track 2022,2026-03-22,0,1,moyen,1,0.0973,0,300,283,0.9433,1
RB,Freiburg Breisgau Hbf,Basel Bad Bf,day,Freiburg Breisgau → Basel Bad,CH,CH,50.96,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.71,7.34,6.63,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0967,0,300,106,0.3533,0
RE,Basel Bad Bf,Friedrichshafen Hafen,day,Basel Bad → Friedrichshafen Hafen,CH,CH,140.93,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,1.97,20.29,18.32,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0971,0,300,173,0.5767,0
RE,Friedrichshafen Stadt,Basel Bad Bf,day,Friedrichshafen Stadt → Basel Bad,CH,CH,140.28,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,1.96,20.2,18.24,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,126,0.42,0
Basel Bad Bf → Hamburg Hbf,Basel Bad Bf,Hamburg Hbf,night,Basel Bad → Hamburg,DE,DE,686.68,DB,night,14,144,9.61,98.88,89.27,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,1,200,96,0.48,0
ICE 43,Basel Bad Bf,Hamburg Altona S,day,Basel Bad → Hamburg Altona S,CH,DE,685.45,DB,day,14,144,9.6,98.7,89.1,90.3,Back-on-Track 2022,2026-03-22,1,1,long,1,0.0973,0,300,235,0.7833,0
ICE 20,Hamburg Dammtor,Basel Bad Bf,day,Hamburg Dammtor → Basel Bad,DE,DE,687.25,DB,day,14,144,9.62,98.96,89.34,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,0,300,103,0.3433,0
Basel Bad Bf → Hamburg-Harburg,Basel Bad Bf,Hamburg Harburg,night,Basel Bad → Hamburg Harburg,DE,DE,676.03,DB,night,14,144,9.46,97.35,87.89,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,1,200,103,0.515,0
Basel Bad Bf → Hannover Hbf,Basel Bad Bf,Hannover Hbf,night,Basel Bad → Hannover,DE,DE,556.06,DB,night,14,144,7.78,80.07,72.29,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,1,200,84,0.42,0
RE,Basel Bad Bf,Herbolzheim Breisgau,day,Basel Bad → Herbolzheim Breisgau,CH,CH,73.98,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,1.04,10.65,9.61,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,238,0.7933,0
ICE,Basel Bad Bf,Interlaken Ost,day,Basel Bad → Interlaken Ost,CH,CH,99.49,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.39,14.33,12.94,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,152,0.5067,0
RE,Basel Bad Bf,Karlsruhe Hbf,day,Basel Bad → Karlsruhe,CH,CH,169.15,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,2.37,24.36,21.99,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,119,0.3967,0
Basel Bad Bf → Kiel Hbf,Basel Bad Bf,Kiel Hbf,night,Basel Bad → Kiel,DE,DE,770.74,DB,night,14,144,10.79,110.99,100.2,90.3,Back-on-Track 2022,2026-03-22,1,0,long,0,0.0972,1,200,126,0.63,0
Basel Bad Bf → Köln Hbf,Basel Bad Bf,Koln Hbf,night,Basel Bad → Koln,DE,DE,378.3,DB,night,14,144,5.3,54.48,49.18,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,1,200,117,0.585,0
RB,Konstanz,Basel Bad Bf,day,Konstanz → Basel Bad,CH,CH,118.15,SBB (SBB GmbH),day,14,144,1.65,17.01,15.36,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,140,0.4667,0
RB,Basel Bad Bf,Lauchringen,day,Basel Bad → Lauchringen,CH,CH,54.07,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.76,7.79,7.03,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0976,0,300,178,0.5933,0
EC,Basel Bad Bf,Leipzig Hbf,day,Basel Bad → Leipzig,CH,CH,543.47,SBB (Schweizerische Bundesbahnen SBB),day,14,144,7.61,78.26,70.65,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,0,300,184,0.6133,0
Lüneburg → Basel Bad Bf,Luneburg,Basel Bad Bf,night,Luneburg → Basel Bad,DE,DE,662.39,DB,night,14,144,9.27,95.38,86.11,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,1,200,104,0.52,0
RB,Basel Bad Bf,Mullheim Im Markgraflerland,day,Basel Bad → Mullheim im Markgraflerland,CH,CH,26.96,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.38,3.88,3.5,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0979,0,300,124,0.4133,0
Basel Bad Bf → München Hbf,Basel Bad Bf,Munchen Hbf,night,Basel Bad → Munchen,DE,DE,301.54,DB,night,14,144,4.22,43.42,39.2,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,1,200,112,0.56,0
München-Pasing → Basel Bad Bf,Munchen Pasing,Basel Bad Bf,day,Munchen Pasing → Basel Bad,DE,DE,294.71,DB,day,14,144,4.13,42.44,38.31,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,90,0.3,0
RB,Offenburg,Basel Bad Bf,day,Offenburg → Basel Bad,CH,CH,104.21,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,1.46,15.01,13.55,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0973,0,300,90,0.3,0
RE,Basel Bad Bf,Rastatt,day,Basel Bad → Rastatt,CH,CH,150.7,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,2.11,21.7,19.59,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,0,300,212,0.7067,0
RB,Rheinfelden Baden,Basel Bad Bf,day,Rheinfelden Baden → Basel Bad,CH,CH,13.35,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.19,1.92,1.73,90.1,Back-on-Track 2022,2026-03-22,0,0,court,1,0.099,0,300,224,0.7467,0
S6,Basel Bad Bf,Schopfheim,day,Basel Bad → Schopfheim,CH,CH,18.5,SBB (SBB GmbH),day,14,144,0.26,2.66,2.4,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,139,0.4633,0
RE,Singen Hohentwiel,Basel Bad Bf,day,Singen Hohentwiel → Basel Bad,CH,CH,94.86,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,1.33,13.66,12.33,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,176,0.5867,0
RB,Basel Bad Bf,Stuhlingen,day,Basel Bad → Stuhlingen,CH,CH,65.83,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.92,9.48,8.56,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,164,0.5467,0
Basel Bad Bf → Stuttgart Hbf,Basel Bad Bf,Stuttgart Hbf,night,Basel Bad → Stuttgart,DE,DE,178.67,DB,night,14,144,2.5,25.73,23.23,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,1,200,212,1.06,1
RE,Ulm Hbf,Basel Bad Bf,day,Ulm → Basel Bad,CH,CH,199.55,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,2.79,28.74,25.95,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,200,0.6667,0
RB,Waldshut,Basel Bad Bf,day,Waldshut → Basel Bad,CH,CH,46.33,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.65,6.67,6.02,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,144,0.48,0
RB,Weizen,Basel Bad Bf,day,Weizen → Basel Bad,CH,CH,68.86,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.96,9.92,8.96,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0968,0,300,107,0.3567,0
S6,Basel Bad Bf,Zell Wiesental,day,Basel Bad → Zell Wiesental,CH,CH,23.79,SBB (SBB GmbH),day,14,144,0.33,3.43,3.1,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0962,0,300,90,0.3,0
Basel Bad Bf → Zürich HB,Basel Bad Bf,Zurich Hb,day,Basel Bad → Zurich Hb,CH,CH,73.23,CH,day,14,144,1.03,10.55,9.52,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0976,0,300,159,0.53,0
IR26,Basel Sbb,Bellinzona,day,Basel Sbb → Bellinzona,CH,CH,185.95,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,2.6,26.78,24.18,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,116,0.3867,0
Basel SBB → Berlin Hbf,Basel Sbb,Berlin Hbf,day,Basel Sbb → Berlin,DE,DE,690.06,DB,day,14,144,9.66,99.37,89.71,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,0,300,90,0.3,0
ICE 12,Berlin Gesundbrunnen,Basel Sbb,day,Berlin Gesundbrunnen → Basel Sbb,DE,CH,692.93,DB,day,14,144,9.7,99.78,90.08,90.3,Back-on-Track 2022,2026-03-22,1,1,long,1,0.0972,0,300,211,0.7033,0
Berlin Ostbahnhof → Basel SBB,Berlin Ostbahnhof,Basel Sbb,night,Berlin Ostbahnhof → Basel Sbb,DE,DE,691.54,DB,night,14,144,9.68,99.58,89.9,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,1,200,88,0.44,0
Basel SBB → Berlin Hbf (tief),Basel Sbb,Berlin Hbf Tief,day,Basel Sbb → Berlin,DE,DE,690.06,DB,day,14,144,9.66,99.37,89.71,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,0,300,226,0.7533,0
IC6,Basel Sbb,Bern,day,Basel Sbb → Bern,CH,CH,67.52,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.95,9.72,8.77,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,190,0.6333,0
IC51,Biel Bienne,Basel Sbb,day,Biel Bienne → Basel Sbb,CH,CH,52.98,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.74,7.63,6.89,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,150,0.5,0
Bregenz → Basel SBB,Bregenz,Basel Sbb,day,Bregenz → Basel Sbb,DE,DE,161.51,SBB,day,14,144,2.26,23.26,21.0,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,0,300,217,0.7233,0
EC,Brig,Basel Sbb,day,Brig → Basel Sbb,CH,CH,139.86,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.96,20.14,18.18,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0973,0,300,153,0.51,0
IR26,Basel Sbb,Cadenazzo,day,Basel Sbb → Cadenazzo,CH,CH,186.08,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,2.61,26.8,24.19,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0974,0,300,111,0.37,0
EC,Chiasso,Basel Sbb,day,Chiasso → Basel Sbb,CH,CH,220.15,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.08,31.7,28.62,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0972,0,300,219,0.73,0
IC3,Chur,Basel Sbb,day,Chur → Basel Sbb,CH,CH,165.61,SBB (Schweizerische Bundesbahnen SBB),day,14,144,2.32,23.85,21.53,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,174,0.58,0
TER,Colmar,Basel Sbb,day,Colmar → Basel Sbb,CH,CH,61.14,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.86,8.8,7.94,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,103,0.3433,0
EC,Basel Sbb,Como S Giovanni,day,Basel Sbb → Como S Giovanni,CH,CH,223.98,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.14,32.25,29.11,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0974,0,300,141,0.47,0
IR56,Basel Sbb,Delemont,day,Basel Sbb → Delemont,CH,CH,27.37,BLS-bls (BLS AG (bls)),day,14,144,0.38,3.94,3.56,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0964,0,300,111,0.37,0
EC,Domodossola I,Basel Sbb,day,Domodossola I → Basel Sbb,CH,CH,168.07,SBB (Schweizerische Bundesbahnen SBB),day,14,144,2.35,24.2,21.85,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,90,0.3,0
Dortmund Hbf → Basel SBB,Dortmund Hbf,Basel Sbb,night,Dortmund → Basel Sbb,DE,DE,441.6,DB,night,14,144,6.18,63.59,57.41,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,1,200,148,0.74,0
ICE 43,Basel Sbb,Dusseldorf Hbf,day,Basel Sbb → Dusseldorf,CH,DE,412.4,DB,day,14,144,5.77,59.39,53.62,90.3,Back-on-Track 2022,2026-03-22,0,1,long,1,0.0972,0,300,326,1.0867,1
Basel SBB → Erfurt Hbf,Basel Sbb,Erfurt Hbf,day,Basel Sbb → Erfurt,DE,DE,455.62,DB,day,14,144,6.38,65.61,59.23,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,0,300,90,0.3,0
IR26,Basel Sbb,Erstfeld,day,Basel Sbb → Erstfeld,CH,CH,113.86,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,1.59,16.4,14.81,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,175,0.5833,0
Frankfurt(Main)Hbf → Basel SBB,Frankfurt Main Hbf,Basel Sbb,day,Frankfurt Main → Basel Sbb,DE,DE,295.28,DB,day,14,144,4.13,42.52,38.39,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,121,0.4033,0
S1,Frick,Basel Sbb,day,Frick → Basel Sbb,CH,CH,32.11,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.45,4.62,4.17,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,128,0.4267,0
Basel SBB → Halle(Saale)Hbf,Basel Sbb,Halle Saale Hbf,day,Basel Sbb → Halle Saale,DE,DE,539.95,DB,day,14,144,7.56,77.75,70.19,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,0,300,123,0.41,0
ECE 20,Basel Sbb,Hamburg Hbf,day,Basel Sbb → Hamburg,CH,DE,689.15,DB,day,14,144,9.65,99.24,89.59,90.3,Back-on-Track 2022,2026-03-22,1,1,long,1,0.0972,0,300,201,0.67,0
Hamburg-Altona → Basel SBB,Hamburg Altona,Basel Sbb,day,Hamburg Altona → Basel Sbb,DE,DE,687.91,DB,day,14,144,9.63,99.06,89.43,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,0,300,152,0.5067,0
ECE 20,Hamburg Dammtor,Basel Sbb,day,Hamburg Dammtor → Basel Sbb,DE,CH,689.71,DB,day,14,144,9.66,99.32,89.66,90.3,Back-on-Track 2022,2026-03-22,1,1,long,1,0.0973,0,300,203,0.6767,0
Basel SBB → Hamburg-Harburg,Basel Sbb,Hamburg Harburg,night,Basel Sbb → Hamburg Harburg,DE,DE,678.5,DB,night,14,144,9.5,97.7,88.2,90.3,Back-on-Track 2022,2026-03-22,1,0,long,1,0.0972,1,200,128,0.64,0
Hannover Hbf → Basel SBB,Hannover Hbf,Basel Sbb,night,Hannover → Basel Sbb,DE,DE,558.55,DB,night,14,144,7.82,80.43,72.61,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0972,1,200,118,0.59,0
IC61,Interlaken Ost,Basel Sbb,day,Interlaken Ost → Basel Sbb,CH,CH,97.6,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.37,14.05,12.68,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,139,0.4633,0
Basel SBB → Kiel Hbf,Basel Sbb,Kiel Hbf,night,Basel Sbb → Kiel,DE,DE,773.19,DB,night,14,144,10.82,111.34,100.52,90.3,Back-on-Track 2022,2026-03-22,1,0,long,0,0.0972,1,200,93,0.465,0
Köln Hbf → Basel SBB,Koln Hbf,Basel Sbb,night,Koln → Basel Sbb,DE,DE,380.34,DB,night,14,144,5.32,54.77,49.45,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,1,200,103,0.515,0
S3,Laufen,Basel Sbb,day,Laufen → Basel Sbb,CH,CH,15.67,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.22,2.26,2.04,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0973,0,300,184,0.6133,0
S1,Laufenburg,Basel Sbb,day,Laufenburg → Basel Sbb,CH,CH,35.43,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.5,5.1,4.6,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.098,0,300,173,0.5767,0
IC51,Lausanne,Basel Sbb,day,Lausanne → Basel Sbb,CH,CH,135.76,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.9,19.55,17.65,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,106,0.3533,0
EXT,Liestal,Basel Sbb,day,Liestal → Basel Sbb,CH,CH,12.74,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.18,1.83,1.65,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0984,0,300,154,0.5133,0
Basel SBB → Lindau Hbf,Basel Sbb,Lindau Hbf,night,Basel Sbb → Lindau,DE,DE,156.93,ÖBB,night,14,144,2.2,22.6,20.4,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,1,200,143,0.715,0
IR26,Basel Sbb,Locarno,day,Basel Sbb → Locarno,CH,CH,178.5,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,2.5,25.7,23.2,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,90,0.3,0
EC,Basel Sbb,Lugano,day,Basel Sbb → Lugano,CH,CH,200.2,SBB (Schweizerische Bundesbahnen SBB),day,14,144,2.8,28.83,26.03,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,174,0.58,0
IC21,Luzern,Basel Sbb,day,Luzern → Basel Sbb,CH,CH,77.52,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.09,11.16,10.07,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,120,0.4,0
IC21,Mendrisio,Basel Sbb,day,Mendrisio → Basel Sbb,CH,CH,214.57,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.0,30.9,27.9,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0971,0,300,176,0.5867,0
TER,Basel Sbb,Mulhouse,day,Basel Sbb → Mulhouse,CH,CH,28.44,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.4,4.1,3.7,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0976,0,300,116,0.3867,0
ICE 60,Munchen Hbf,Basel Sbb,day,Munchen → Basel Sbb,DE,CH,303.39,DB,day,14,144,4.25,43.69,39.44,90.3,Back-on-Track 2022,2026-03-22,0,1,moyen,1,0.0973,0,300,159,0.53,0
