route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,is_outlier_distance,is_cross_border,distance_category,is_flight_competitive,co2_ratio_train_plane,type_encoded,capacity,passengers_estimated,load_factor,is_underserved
C31,Grenoble Universites Gieres,Saint Andre Le Gaz,day,Grenoble Universites Gieres → Saint Andre le Gaz,FR,FR,44.86,SNCF,day,14,144,0.63,6.46,5.83,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,167,0.5567,0
C26,Saint Andre Le Gaz,Lyon Perrache,day,Saint Andre le Gaz → Lyon Perrache,FR,FR,58.84,SNCF,day,14,144,0.82,8.47,7.65,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0968,0,300,110,0.3667,0
P3,Chartres,Angers Saint Laud,day,Chartres → Angers Saint Laud,FR,FR,187.06,SNCF,day,14,144,2.62,26.94,24.32,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,157,0.5233,0
C20,Angers Saint Laud,Cholet,day,Angers Saint Laud → Cholet,FR,FR,50.26,SNCF,day,14,144,0.7,7.24,6.54,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0967,0,300,153,0.51,0
P15,Angers Saint Laud,Le Mans,day,Angers Saint Laud → le Mans,FR,FR,81.41,SNCF,day,14,144,1.14,11.72,10.58,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0973,0,300,99,0.33,0
P1,Nantes,Angers Saint Laud,day,Nantes → Angers Saint Laud,FR,FR,79.16,SNCF,day,14,144,1.11,11.4,10.29,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,166,0.5533,0
411C,Paris Montparnasse Hall 1 2,Angers Saint Laud,day,Paris Montparnasse Hall 1 2 → Angers Saint Laud,FR,FR,262.62,SNCF,day,14,144,3.68,37.82,34.14,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,175,0.5833,0
P1,Angers Saint Laud,Saumur,day,Angers Saint Laud → Saumur,FR,FR,42.54,SNCF,day,14,144,0.6,6.13,5.53,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0979,0,300,199,0.6633,0
P65,Angers Saint Laud,Thouars,day,Angers Saint Laud → Thouars,FR,FR,59.41,SNCF,day,14,144,0.83,8.56,7.73,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,197,0.6567,0
P1,Tours,Angers Saint Laud,day,Tours → Angers Saint Laud,FR,FR,94.37,SNCF,day,14,144,1.32,13.59,12.27,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0971,0,300,90,0.3,0
P8,Orleans,Angerville,day,Orleans → Angerville,FR,FR,45.5,SNCF,day,14,144,0.64,6.55,5.91,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0977,0,300,108,0.36,0
P8,Toury,Angerville,day,Toury → Angerville,FR,FR,13.95,SNCF,day,14,144,0.2,2.01,1.81,90.0,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0995,0,300,173,0.5767,0
L13,Bordeaux Saint Jean,Angouleme,night,Bordeaux Saint Jean → Angouleme,FR,FR,107.98,SNCF VOYAGEURS,night,14,144,1.51,15.55,14.04,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0971,1,200,135,0.675,0
L12+,Angouleme,Chatellerault,day,Angouleme → Chatellerault,FR,FR,132.88,SNCF,day,14,144,1.86,19.13,17.27,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,173,0.5767,0
L16,La Rochelle Porte Dauphine,Angouleme,day,la Rochelle Porte Dauphine → Angouleme,FR,FR,116.79,SNCF,day,14,144,1.64,16.82,15.18,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,323,1.0767,0
L13,Angouleme,Libourne,day,Angouleme → Libourne,FR,FR,87.82,SNCF,day,14,144,1.23,12.65,11.42,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,176,0.5867,0
L12,Poitiers,Angouleme,day,Poitiers → Angouleme,FR,FR,104.08,SNCF,day,14,144,1.46,14.99,13.53,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,201,0.67,0
L16,Royan,Angouleme,day,Royan → Angouleme,FR,FR,91.89,SNCF,day,14,144,1.29,13.23,11.94,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,193,0.6433,0
L16,Saintes,Angouleme,day,Saintes → Angouleme,FR,FR,61.68,SNCF,day,14,144,0.86,8.88,8.02,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0968,0,300,179,0.5967,0
L2,Annemasse,Annecy,day,Annemasse → Annecy,FR,FR,34.21,SNCF,day,14,144,0.48,4.93,4.45,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0974,0,300,136,0.4533,0
K21,Annecy,Avignon Centre,day,Annecy → Avignon Centre,FR,FR,241.34,SNCF,day,14,144,3.38,34.75,31.37,90.3,Back-on-Track 2022,2026-03-22,0,0,moyen,1,0.0973,0,300,184,0.6133,0
C21,Chambery Challes Les Eaux,Annecy,day,Chambery Challes les Eaux → Annecy,FR,FR,39.99,SNCF,day,14,144,0.56,5.76,5.2,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,115,0.3833,0
E04,Annecy,Chamonix Mont Blanc,day,Annecy → Chamonix Mont Blanc,FR,FR,58.21,SNCF,day,14,144,0.81,8.38,7.57,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0967,0,300,139,0.4633,0
L2,Annecy,Coppet,day,Annecy → Coppet,FR,FR,46.46,SNCF,day,14,144,0.65,6.69,6.04,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,128,0.4267,0
L2,Annecy,Geneve Cornavin,day,Annecy → Geneve Cornavin,FR,FR,34.3,SNCF,day,14,144,0.48,4.94,4.46,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0972,0,300,154,0.5133,0
C13,Saint Gervais Les Bains Le Fayet,Annecy,day,Saint Gervais les Bains le Fayet → Annecy,FR,FR,44.84,SNCF,day,14,144,0.63,6.46,5.83,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,254,0.8467,0
K21,Grenoble,Annecy,day,Grenoble → Annecy,FR,FR,85.14,SNCF,day,14,144,1.19,12.26,11.07,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0971,0,300,90,0.3,0
C13,Annecy,La Roche Sur Foron,day,Annecy → la Roche Sur Foron,FR,FR,23.16,SNCF,day,14,144,0.32,3.34,3.02,90.4,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0958,0,300,181,0.6033,0
K23,Annecy,Lyon Part Dieu,day,Annecy → Lyon Part Dieu,FR,FR,99.06,SNCF,day,14,144,1.39,14.26,12.87,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,90,0.3,0
K23,Lyon Part Dieu Gare Routiere,Annecy,day,Lyon Part Dieu → Annecy,FR,FR,98.78,SNCF,day,14,144,1.38,14.22,12.84,90.3,Back-on-Track 2022,2026-03-22,0,0,court,1,0.097,0,300,129,0.43,0
621B,Annecy,Marne La Vallee Chessy,night,Annecy → Marne la Vallee Chessy,FR,FR,414.77,SNCF VOYAGEURS,night,14,144,5.81,59.73,53.92,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0973,1,200,153,0.765,0
TGV,Paris Gare De Lyon,Annecy,day,Paris de Lyon → Annecy,CH,CH,431.99,SNCF (Société Nationale des Chemins de fer Français),day,14,144,6.05,62.21,56.16,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0973,0,300,153,0.51,0
621B,Annecy,Paris Gare De Lyon Hall 1 2,night,Annecy → Paris de Lyon Hall 1 2,FR,FR,432.04,SNCF VOYAGEURS,night,14,144,6.05,62.21,56.16,90.3,Back-on-Track 2022,2026-03-22,0,0,long,1,0.0973,1,200,88,0.44,0
C21,Rumilly,Annecy,day,Rumilly → Annecy,FR,FR,14.14,SNCF,day,14,144,0.2,2.04,1.84,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.098,0,300,118,0.3933,0
TER,Annecy,St Gervais Les Bains Le Fayet,day,Annecy → St Gervais les Bains le Fayet,CH,CH,44.84,SNCF (Société Nationale des Chemins de fer Français),day,14,144,0.63,6.46,5.83,90.2,Back-on-Track 2022,2026-03-22,0,0,court,1,0.0975,0,300,181,0.6033,0
