route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,train_gco2_pkm_ademe,train_co2_kg_ademe,co2_savings_kg_ademe,rail_modal_share_pct
ICE 18,Hauptbahnhof,Berlin Gesundbrunnen,day,→ Berlin Gesundbrunnen,DE,DE,238.64,DB,day,14,144,3.34,34.36,31.02,90.3,Back-on-Track 2022,2026-03-22,0.014,3.34096,31.01904,9.9
IC 51,Hauptbahnhof,Dortmund Hbf,day,→ Dortmund,DE,DE,256.33,DB,day,14,144,3.59,36.91,33.32,90.3,Back-on-Track 2022,2026-03-22,0.014,3.5886199999999997,33.32138,9.9
ICE 28,Hamburg Altona S,Hauptbahnhof,day,Hamburg Altona S →,DE,DE,296.6,DB,day,14,144,4.15,42.71,38.56,90.3,Back-on-Track 2022,2026-03-22,0.014,4.1524,38.5576,9.9
IC 51,Hauptbahnhof,Koln Hbf,day,→ Koln,DE,DE,285.66,DB,day,14,144,4.0,41.14,37.14,90.3,Back-on-Track 2022,2026-03-22,0.014,3.9992400000000004,37.14076,9.9
ICE 11,Munchen Hbf,Hauptbahnhof,day,Munchen →,DE,DE,317.1,DB,day,14,144,4.44,45.66,41.22,90.3,Back-on-Track 2022,2026-03-22,0.014,4.4394,41.2206,9.9
Berlin Gesundbrunnen → Aachen Hbf,Berlin Gesundbrunnen,Aachen Hbf,day,Berlin Gesundbrunnen → Aachen,DE,DE,540.61,DB,day,14,144,7.57,77.85,70.28,90.3,Back-on-Track 2022,2026-03-22,0.014,7.5685400000000005,70.28146,9.9
Aachen Hbf → Berlin Ostbahnhof,Aachen Hbf,Berlin Ostbahnhof,night,Aachen → Berlin Ostbahnhof,DE,DE,542.23,DB,night,14,144,7.59,78.08,70.49,90.3,Back-on-Track 2022,2026-03-22,0.014,7.591220000000001,70.48877999999999,9.9
Aachen Hbf → Berlin Südkreuz,Aachen Hbf,Berlin Sudkreuz,day,Aachen → Berlin Sudkreuz,DE,DE,536.55,DB,day,14,144,7.51,77.26,69.75,90.3,Back-on-Track 2022,2026-03-22,0.014,7.511699999999999,69.7483,9.9
Aachen Hbf → Berlin Hbf (tief),Aachen Hbf,Berlin Hbf Tief,day,Aachen → Berlin,DE,DE,538.56,DB,day,14,144,7.54,77.55,70.01,90.3,Back-on-Track 2022,2026-03-22,0.014,7.539839999999999,70.01016,9.9
Aachen Hbf → Dresden Hbf,Aachen Hbf,Dresden Hbf,day,Aachen → Dresden,DE,DE,536.38,DB,day,14,144,7.51,77.24,69.73,90.3,Back-on-Track 2022,2026-03-22,0.014,7.50932,69.73067999999999,9.9
Hamburg-Altona → Aachen Hbf,Hamburg Altona,Aachen Hbf,day,Hamburg Altona → Aachen,DE,DE,405.63,DB,day,14,144,5.68,58.41,52.73,90.3,Back-on-Track 2022,2026-03-22,0.014,5.67882,52.731179999999995,9.9
Hamburg-Harburg → Aachen Hbf,Hamburg Harburg,Aachen Hbf,day,Hamburg Harburg → Aachen,DE,DE,400.23,DB,day,14,144,5.6,57.63,52.03,90.3,Back-on-Track 2022,2026-03-22,0.014,5.60322,52.02678,9.9
RE,Ulm Hbf,Aalen,day,Ulm → Aalen,CH,CH,49.81,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.7,7.17,6.47,90.2,Back-on-Track 2022,2026-03-22,0.014,0.6973400000000001,6.472659999999999,21.2
RE,Arth Goldau,Aarau,day,Arth Goldau → Aarau,CH,CH,53.52,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.75,7.71,6.96,90.3,Back-on-Track 2022,2026-03-22,0.014,0.7492800000000001,6.96072,21.2
IR37,Aarau,Basel Sbb,day,Aarau → Basel Sbb,CH,CH,38.8,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.54,5.59,5.05,90.3,Back-on-Track 2022,2026-03-22,0.014,0.5432,5.0468,21.2
S23,Langenthal,Aarau,day,Langenthal → Aarau,CH,CH,27.9,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.39,4.02,3.63,90.3,Back-on-Track 2022,2026-03-22,0.014,0.3906,3.6293999999999995,21.2
S14,Aarau,Menziken,day,Aarau → Menziken,CH,CH,19.7,AVA-wsb (Aargau Verkehr AG),day,14,144,0.28,2.84,2.56,90.1,Back-on-Track 2022,2026-03-22,0.014,0.2758,2.5642,21.2
S26,Aarau,Muri Ag,day,Aarau → Muri Ag,CH,CH,25.21,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.35,3.63,3.28,90.4,Back-on-Track 2022,2026-03-22,0.014,0.35294000000000003,3.2770599999999996,21.2
RE,Olten,Aarau,day,Olten → Aarau,CH,CH,11.67,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.16,1.68,1.52,90.5,Back-on-Track 2022,2026-03-22,0.014,0.16338,1.5166199999999999,21.2
S11,Sennhof Kyburg,Aarau,day,Sennhof Kyburg → Aarau,CH,CH,53.97,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.76,7.77,7.01,90.2,Back-on-Track 2022,2026-03-22,0.014,0.75558,7.014419999999999,21.2
S11,Aarau,Seuzach,day,Aarau → Seuzach,CH,CH,54.13,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.76,7.79,7.03,90.2,Back-on-Track 2022,2026-03-22,0.014,0.75782,7.03218,21.2
S11,Wila,Aarau,day,Wila → Aarau,CH,CH,60.07,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.84,8.65,7.81,90.3,Back-on-Track 2022,2026-03-22,0.014,0.8409800000000001,7.80902,21.2
S11,Aarau,Winterthur,day,Aarau → Winterthur,CH,CH,52.01,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.73,7.49,6.76,90.3,Back-on-Track 2022,2026-03-22,0.014,0.72814,6.76186,21.2
S11,Winterthur Seen,Aarau,day,Winterthur Seen → Aarau,CH,CH,54.86,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.77,7.9,7.13,90.3,Back-on-Track 2022,2026-03-22,0.014,0.7680400000000001,7.13196,21.2
S29,Aarau,Zofingen,day,Aarau → Zofingen,CH,CH,14.08,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.2,2.03,1.83,90.1,Back-on-Track 2022,2026-03-22,0.014,0.19712000000000002,1.8328799999999998,21.2
RE,Aarau,Zurich Hardbrucke,day,Aarau → Zurich Hardbrucke,CH,CH,35.08,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.49,5.05,4.56,90.3,Back-on-Track 2022,2026-03-22,0.014,0.49112,4.55888,21.2
RE,Aarau,Zurich Hb,day,Aarau → Zurich Hb,CH,CH,36.84,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.52,5.3,4.78,90.2,Back-on-Track 2022,2026-03-22,0.014,0.5157600000000001,4.78424,21.2
Aarhus → Flensburg,Aarhus,Flensburg,night,Aarhus → Flensburg,DE,DE,160.49,DSB,night,14,144,2.25,23.11,20.86,90.3,Back-on-Track 2022,2026-03-22,0.014,2.2468600000000003,20.863139999999998,9.9
Aarhus → Hamburg Hbf,Aarhus,Hamburg Hbf,day,Aarhus → Hamburg,DE,DE,289.09,DB,day,14,144,4.05,41.63,37.58,90.3,Back-on-Track 2022,2026-03-22,0.014,4.04726,37.58274,9.9
P24,Amiens,Abancourt,day,Amiens → Abancourt,FR,FR,44.6,SNCF Voyageurs EA,day,14,144,0.62,6.42,5.8,90.3,Back-on-Track 2022,2026-03-22,0.014,0.6244000000000001,5.7956,11.1
P30,Beauvais,Abancourt,day,Beauvais → Abancourt,FR,FR,36.66,SNCF Voyageurs EA,day,14,144,0.51,5.28,4.77,90.3,Back-on-Track 2022,2026-03-22,0.014,0.5132399999999999,4.7667600000000006,11.1
P32,Abancourt,Creil,day,Abancourt → Creil,FR,FR,68.72,SNCF Voyageurs EA,day,14,144,0.96,9.9,8.94,90.3,Back-on-Track 2022,2026-03-22,0.014,0.96208,8.93792,11.1
P30,Le Treport Mers Les Bains,Abancourt,day,le Treport Mers les Bains → Abancourt,FR,FR,50.72,SNCF Voyageurs EA,day,14,144,0.71,7.3,6.59,90.3,Back-on-Track 2022,2026-03-22,0.014,0.71008,6.589919999999999,11.1
P21,Albert,Abbeville,day,Albert → Abbeville,FR,FR,59.52,SNCF Voyageurs EA,day,14,144,0.83,8.57,7.74,90.3,Back-on-Track 2022,2026-03-22,0.014,0.83328,7.73672,11.1
P21,Abbeville,Amiens,day,Abbeville → Amiens,FR,FR,41.82,SNCF Voyageurs EA,day,14,144,0.59,6.02,5.43,90.2,Back-on-Track 2022,2026-03-22,0.014,0.58548,5.434519999999999,11.1
S41,Thun,Aefligen,day,Thun → Aefligen,CH,CH,38.26,BLS-bls (BLS AG (bls)),day,14,144,0.54,5.51,4.97,90.2,Back-on-Track 2022,2026-03-22,0.014,0.53564,4.97436,21.2
621B,Aeroport Charles De Gaulle 2 Tgv,Annecy,day,Aeroport Charles de Gaulle 2 Tgv → Annecy,FR,FR,436.05,SNCF,day,14,144,6.1,62.79,56.69,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.2950685,61.4949315,11.1
003A,Bordeaux Saint Jean,Aeroport Charles De Gaulle 2 Tgv,night,Bordeaux Saint Jean → Aeroport Charles de Gaulle 2 Tgv,FR,FR,521.65,SNCF VOYAGEURS,night,14,144,7.3,75.12,67.82,90.3,Back-on-Track 2022,2026-03-22,0.014,7.3031,67.8169,11.1
001A,Bruxelles Midi,Aeroport Charles De Gaulle 2 Tgv,day,Bruxelles Midi → Aeroport Charles de Gaulle 2 Tgv,FR,FR,239.75,SNCF,day,14,144,3.36,34.52,31.16,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.7120575,33.8079425,11.1
622E,Aeroport Charles De Gaulle 2 Tgv,Geneve Cornavin,day,Aeroport Charles de Gaulle 2 Tgv → Geneve Cornavin,FR,FR,410.0,SNCF,day,14,144,5.74,59.04,53.3,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.2177,57.8223,11.1
621A,Aeroport Charles De Gaulle 2 Tgv,Grenoble,day,Aeroport Charles de Gaulle 2 Tgv → Grenoble,FR,FR,486.01,SNCF,day,14,144,6.8,69.99,63.19,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.4434497,68.54655029999999,11.1
612E,Lausanne,Aeroport Charles De Gaulle 2 Tgv,day,Lausanne → Aeroport Charles de Gaulle 2 Tgv,FR,FR,410.37,SNCF,day,14,144,5.75,59.09,53.34,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.2187989,57.8712011,11.1
601A,Aeroport Charles De Gaulle 2 Tgv,Lyon Perrache,day,Aeroport Charles de Gaulle 2 Tgv → Lyon Perrache,FR,FR,399.75,SNCF,day,14,144,5.6,57.56,51.96,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.1872575,56.3727425,11.1
001B,Marseille Saint Charles,Aeroport Charles De Gaulle 2 Tgv,day,Marseille Saint Charles → Aeroport Charles de Gaulle 2 Tgv,FR,FR,669.72,SNCF,day,14,144,9.38,96.44,87.06,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.9890684,94.4509316,11.1
641A,Aeroport Charles De Gaulle 2 Tgv,Milano Porta Garibaldi,day,Aeroport Charles de Gaulle 2 Tgv → Milano Porta Garibaldi,FR,FR,634.09,SNCF,day,14,144,8.88,91.31,82.43,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.8832473,89.42675270000001,11.1
631D,Aeroport Charles De Gaulle 2 Tgv,Miramas,day,Aeroport Charles de Gaulle 2 Tgv → Miramas,FR,FR,631.12,SNCF,day,14,144,8.84,90.88,82.04,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.8744264,89.00557359999999,11.1
633C,Montpellier Sud De France,Aeroport Charles De Gaulle 2 Tgv,day,Montpellier Sud de France → Aeroport Charles de Gaulle 2 Tgv,FR,FR,610.29,SNCF,day,14,144,8.54,87.88,79.34,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.8125612999999998,86.0674387,11.1
003B,Nantes,Aeroport Charles De Gaulle 2 Tgv,day,Nantes → Aeroport Charles de Gaulle 2 Tgv,FR,FR,364.19,SNCF,day,14,144,5.1,52.44,47.34,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.0816443,51.3583557,11.1
631A,Nice Ville,Aeroport Charles De Gaulle 2 Tgv,day,Nice Ville → Aeroport Charles de Gaulle 2 Tgv,FR,FR,690.2,SNCF,day,14,144,9.66,99.39,89.73,90.3,Back-on-Track 2022,2026-03-22,0.00297,2.049894,97.340106,11.1
633G,Aeroport Charles De Gaulle 2 Tgv,Perpignan,day,Aeroport Charles de Gaulle 2 Tgv → Perpignan,FR,FR,701.77,SNCF,day,14,144,9.82,101.05,91.23,90.3,Back-on-Track 2022,2026-03-22,0.00297,2.0842568999999997,98.9657431,11.1
003C,Aeroport Charles De Gaulle 2 Tgv,Rennes,day,Aeroport Charles de Gaulle 2 Tgv → Rennes,FR,FR,327.93,SNCF,day,14,144,4.59,47.22,42.63,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.9739521,46.2460479,11.1
533A,Aeroport Charles De Gaulle 2 Tgv,Toulon,day,Aeroport Charles de Gaulle 2 Tgv → Toulon,FR,FR,702.63,SNCF,day,14,144,9.84,101.18,91.34,90.3,Back-on-Track 2022,2026-03-22,0.00297,2.0868111,99.0931889,11.1
TGV,Marseille Saint Charles,Aeroport Charles De Gaulle Tgv,day,Marseille Saint Charles → Aeroport Charles de Gaulle Tgv,CH,CH,669.67,SNCF (Société Nationale des Chemins de fer Français),day,14,144,9.38,96.43,87.05,90.3,Back-on-Track 2022,2026-03-22,0.014,9.37538,87.05462,21.2
S3,Olten,Aesch Bl,day,Olten → Aesch Bl,CH,CH,26.29,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.37,3.79,3.42,90.2,Back-on-Track 2022,2026-03-22,0.014,0.36806,3.42194,21.2
S14,Hinwil,Affoltern Am Albis,day,Hinwil → Affoltern am Albis,CH,CH,29.77,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.42,4.29,3.87,90.2,Back-on-Track 2022,2026-03-22,0.014,0.41678,3.87322,21.2
S5,Affoltern Am Albis,Pfaffikon Sz,day,Affoltern am Albis → Pfaffikon Sz,CH,CH,26.31,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.37,3.79,3.42,90.2,Back-on-Track 2022,2026-03-22,0.014,0.36834,3.42166,21.2
S5,Rapperswil Sg,Affoltern Am Albis,day,Rapperswil Sg → Affoltern am Albis,CH,CH,28.51,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.4,4.11,3.71,90.3,Back-on-Track 2022,2026-03-22,0.014,0.39914000000000005,3.7108600000000003,21.2
S5,Zug,Affoltern Am Albis,day,Zug → Affoltern am Albis,CH,CH,12.5,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.18,1.8,1.62,90.0,Back-on-Track 2022,2026-03-22,0.014,0.17500000000000002,1.625,21.2
P158,Agen,Auch,day,Agen → Auch,FR,FR,62.35,SNCF,day,14,144,0.87,8.98,8.11,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.1851795,8.7948205,11.1
D44,Agen,Bordeaux Saint Jean,night,Agen → Bordeaux Saint Jean,FR,FR,115.92,SNCF VOYAGEURS,night,14,144,1.62,16.69,15.07,90.3,Back-on-Track 2022,2026-03-22,0.014,1.62288,15.067120000000001,11.1
D44,Langon,Agen,day,Langon → Agen,FR,FR,79.65,SNCF,day,14,144,1.12,11.47,10.35,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.2365605,11.233439500000001,11.1
L34,Le Buisson,Agen,day,le Buisson → Agen,FR,FR,74.64,SNCF,day,14,144,1.04,10.75,9.71,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.2216808,10.5283192,11.1
L44,Agen,Marmande,day,Agen → Marmande,FR,FR,48.71,SNCF,day,14,144,0.68,7.01,6.33,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.1446687,6.865331299999999,11.1
L34,Monsempron Libos,Agen,day,Monsempron Libos → Agen,FR,FR,40.1,SNCF,day,14,144,0.56,5.77,5.21,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.11909700000000001,5.650903,11.1
K11,Montauban Ville Bourbon,Agen,day,Montauban Ville Bourbon → Agen,FR,FR,61.43,SNCF,day,14,144,0.86,8.85,7.99,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.1824471,8.6675529,11.1
421C,Agen,Paris Montparnasse Hall 1 2,night,Agen → Paris Montparnasse Hall 1 2,FR,FR,531.31,SNCF VOYAGEURS,night,14,144,7.44,76.51,69.07,90.3,Back-on-Track 2022,2026-03-22,0.014,7.438339999999999,69.07166000000001,11.1
L34,Agen,Perigueux,day,Agen → Perigueux,FR,FR,109.13,SNCF,day,14,144,1.53,15.71,14.18,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.32411609999999996,15.385883900000001,11.1
K11,Toulouse Matabiau,Agen,day,Toulouse Matabiau → Agen,FR,FR,94.09,SNCF,day,14,144,1.32,13.55,12.23,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.2794473,13.270552700000001,11.1
R,Champery,Aigle,day,Champery → Aigle,CH,CH,17.3,TPC (Transports Publics du Chablais),day,14,144,0.24,2.49,2.25,90.4,Back-on-Track 2022,2026-03-22,0.014,0.24220000000000003,2.2478000000000002,21.2
R,Aigle,Cossonay Penthalaz,day,Aigle → Cossonay Penthalaz,CH,CH,46.58,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.65,6.71,6.06,90.3,Back-on-Track 2022,2026-03-22,0.014,0.65212,6.05788,21.2
R,Les Diablerets,Aigle,day,les Diablerets → Aigle,CH,CH,15.18,TPC (Transports Publics du Chablais),day,14,144,0.21,2.19,1.98,90.4,Back-on-Track 2022,2026-03-22,0.014,0.21252,1.97748,21.2
R,Troistorrents,Aigle,day,Troistorrents → Aigle,CH,CH,10.51,TPC (Transports Publics du Chablais),day,14,144,0.15,1.51,1.36,90.1,Back-on-Track 2022,2026-03-22,0.014,0.14714,1.36286,21.2
P17,Saint Aignan Noyers,Tours,day,Saint Aignan Noyers → Tours,FR,FR,53.3,SNCF,day,14,144,0.75,7.68,6.93,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.158301,7.521699,11.1
P50,Lure,Aillevillers,day,Lure → Aillevillers,FR,FR,28.14,SNCF,day,14,144,0.39,4.05,3.66,90.4,Back-on-Track 2022,2026-03-22,0.00297,0.0835758,3.9664241999999996,11.1
IR26,Airolo,Arth Goldau,day,Airolo → Arth Goldau,CH,CH,58.17,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,0.81,8.38,7.57,90.3,Back-on-Track 2022,2026-03-22,0.014,0.81438,7.565620000000001,21.2
S10,Airolo,Como Camerlata,day,Airolo → Como Camerlata,CH,CH,90.23,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.26,12.99,11.73,90.3,Back-on-Track 2022,2026-03-22,0.014,1.26322,11.72678,21.2
IR46,Erstfeld,Airolo,day,Erstfeld → Airolo,CH,CH,32.72,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,0.46,4.71,4.25,90.2,Back-on-Track 2022,2026-03-22,0.014,0.45808,4.25192,21.2
S10,Airolo,Mendrisio,day,Airolo → Mendrisio,CH,CH,78.56,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.1,11.31,10.21,90.3,Back-on-Track 2022,2026-03-22,0.014,1.0998400000000002,10.21016,21.2
P31,Aiton Salle Polyvalente,Saint Jean De Maurienne Arvan,day,Aiton Salle Polyvalente → Saint Jean de Maurienne Arvan,FR,FR,32.39,SNCF,day,14,144,0.45,4.66,4.21,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.0961983,4.5638017,11.1
533A,Aix En Provence Tgv,Lille Flandres,day,Aix En Provence Tgv → Lille Flandres,FR,FR,816.38,SNCF,day,14,144,11.43,117.56,106.13,90.3,Back-on-Track 2022,2026-03-22,0.00297,2.4246486,115.1353514,11.1
631B,Paris Gare De Lyon Hall 1 2,Aix En Provence Tgv,day,Paris de Lyon Hall 1 2 → Aix En Provence Tgv,FR,FR,640.65,SNCF,day,14,144,8.97,92.25,83.28,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.9027304999999999,90.3472695,11.1
C2,Marseille Saint Charles,Aix En Provence,day,Marseille Saint Charles → Aix En Provence,FR,FR,25.04,SNCF,day,14,144,0.35,3.61,3.26,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.0743688,3.5356312,11.1
C2,Aix En Provence,Pertuis,day,Aix En Provence → Pertuis,FR,FR,18.58,SNCF,day,14,144,0.26,2.68,2.42,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.05518259999999999,2.6248174,11.1
C21,Annecy,Aix Les Bains Le Revard,day,Annecy → Aix les Bains le Revard,FR,FR,28.93,SNCF,day,14,144,0.41,4.17,3.76,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.0859221,4.0840779,11.1
K41,Aix Les Bains Le Revard,Bourg Saint Maurice,day,Aix les Bains le Revard → Bourg Saint Maurice,FR,FR,67.43,SNCF,day,14,144,0.94,9.71,8.77,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.20026710000000003,9.509732900000001,11.1
C21,Aix Les Bains Le Revard,Chambery Challes Les Eaux,day,Aix les Bains le Revard → Chambery Challes les Eaux,FR,FR,13.02,SNCF,day,14,144,0.18,1.87,1.69,90.4,Back-on-Track 2022,2026-03-22,0.00297,0.0386694,1.8313306,11.1
K23,Aix Les Bains Le Revard,Lyon Part Dieu,day,Aix les Bains le Revard → Lyon Part Dieu,FR,FR,81.9,SNCF,day,14,144,1.15,11.79,10.64,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.24324300000000001,11.546757,11.1
TGV,Paris Gare De Lyon,Aix Les Bains Le Revard,day,Paris de Lyon → Aix les Bains le Revard,CH,CH,440.74,SNCF (Société Nationale des Chemins de fer Français),day,14,144,6.17,63.47,57.3,90.3,Back-on-Track 2022,2026-03-22,0.014,6.1703600000000005,57.29964,21.2
621B,Aix Les Bains Le Revard,Paris Gare De Lyon Hall 1 2,day,Aix les Bains le Revard → Paris de Lyon Hall 1 2,FR,FR,440.8,SNCF,day,14,144,6.17,63.48,57.31,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.3091760000000001,62.170823999999996,11.1
TER,Aix Les Bains Le Revard,Valence,day,Aix les Bains le Revard → Valence,CH,CH,116.01,SNCF (Société Nationale des Chemins de fer Français),day,14,144,1.62,16.71,15.09,90.3,Back-on-Track 2022,2026-03-22,0.014,1.6241400000000001,15.08586,21.2
K21,Valence Ville,Aix Les Bains Le Revard,day,Valence Ville → Aix les Bains le Revard,FR,FR,116.0,SNCF,day,14,144,1.62,16.7,15.08,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.34452,16.35548,11.1
P21,Albert,Amiens,day,Albert → Amiens,FR,FR,27.23,SNCF Voyageurs EA,day,14,144,0.38,3.92,3.54,90.3,Back-on-Track 2022,2026-03-22,0.014,0.38122,3.53878,11.1
P41,Albertville,Moutiers Salins Brides Les B,day,Albertville → Moutiers Salins Brides les B,FR,FR,23.73,SNCF,day,14,144,0.33,3.42,3.09,90.4,Back-on-Track 2022,2026-03-22,0.00297,0.0704781,3.3495219,11.1
P2,Albi Ville,Carmaux,day,Albi Ville → Carmaux,FR,FR,14.1,SNCF,day,14,144,0.2,2.03,1.83,90.1,Back-on-Track 2022,2026-03-22,0.00297,0.041877,1.9881229999999999,11.1
555B,Albi Ville,Paris Austerlitz,day,Albi Ville → Paris Austerlitz,FR,FR,547.34,SNCF,day,14,144,7.66,78.82,71.16,90.3,Back-on-Track 2022,2026-03-22,0.00297,1.6255998,77.19440019999999,11.1
P2,Albi Ville,Rodez,day,Albi Ville → Rodez,FR,FR,60.36,SNCF,day,14,144,0.85,8.69,7.84,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.1792692,8.5107308,11.1
C2,Toulouse Matabiau,Albi Ville,day,Toulouse Matabiau → Albi Ville,FR,FR,64.94,SNCF,day,14,144,0.91,9.35,8.44,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.19287179999999998,9.157128199999999,11.1
RB,Albstadt Ebingen,Mengen,day,Albstadt Ebingen → Mengen,CH,CH,28.84,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.4,4.15,3.75,90.4,Back-on-Track 2022,2026-03-22,0.014,0.40376,3.7462400000000002,21.2
RB,Sigmaringen,Albstadt Ebingen,day,Sigmaringen → Albstadt Ebingen,CH,CH,19.93,DB Regio (DB Regio AG Baden-Württemberg),day,14,144,0.28,2.87,2.59,90.2,Back-on-Track 2022,2026-03-22,0.014,0.27902,2.59098,21.2
K39,Alencon,Caen,day,Alencon → Caen,FR,FR,88.79,SNCF,day,14,144,1.24,12.79,11.55,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.2637063,12.526293699999998,11.1
P9,Chateau Du Loir,Alencon,day,Chateau du Loir → Alencon,FR,FR,86.71,SNCF,day,14,144,1.21,12.49,11.28,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.2575287,12.2324713,11.1
P9,Alencon,Le Mans,day,Alencon → le Mans,FR,FR,49.23,SNCF,day,14,144,0.69,7.09,6.4,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.14621309999999998,6.9437869,11.1
C424,Surdon,Alencon,day,Surdon → Alencon,FR,FR,25.81,SNCF,day,14,144,0.36,3.72,3.36,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.0766557,3.6433443000000003,11.1
P30,Alencon,Tours,night,Alencon → Tours,FR,FR,124.25,SNCF VOYAGEURS,night,14,144,1.74,17.89,16.15,90.3,Back-on-Track 2022,2026-03-22,0.014,1.7395,16.1505,11.1
C7,Ales,Genolhac,day,Ales → Genolhac,FR,FR,26.6,SNCF,day,14,144,0.37,3.83,3.46,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.079002,3.750998,11.1
P17,Ales,Langeac,day,Ales → Langeac,FR,FR,118.02,SNCF,day,14,144,1.65,16.99,15.34,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.3505194,16.6394806,11.1
INCONNU,Ales,Langogne,day,Ales → Langogne,FR,FR,69.64,OCEdefault,day,14,144,0.97,10.03,9.06,90.3,Back-on-Track 2022,2026-03-22,0.014,0.97496,9.05504,11.1
P7,Ales,Mende,day,Ales → Mende,FR,FR,63.84,SNCF,day,14,144,0.89,9.19,8.3,90.3,Back-on-Track 2022,2026-03-22,0.00297,0.18960480000000002,9.0003952,11.1
C7,Nimes Centre,Ales,day,Nimes Centre → Ales,FR,FR,39.81,SNCF,day,14,144,0.56,5.73,5.17,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.11823570000000001,5.611764300000001,11.1
R,Lausanne,Allaman,day,Lausanne → Allaman,CH,CH,18.14,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.25,2.61,2.36,90.4,Back-on-Track 2022,2026-03-22,0.014,0.25396,2.3560399999999997,21.2
R,Murten Morat,Allaman,day,Murten Morat → Allaman,CH,CH,74.01,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.04,10.66,9.62,90.2,Back-on-Track 2022,2026-03-22,0.014,1.03614,9.62386,21.2
R,Allaman,Payerne,day,Allaman → Payerne,CH,CH,56.24,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.79,8.1,7.31,90.2,Back-on-Track 2022,2026-03-22,0.014,0.7873600000000001,7.31264,21.2
P45,Toul,Allamps E S A T,day,Toul → Allamps E S A T,FR,FR,16.35,SNCF,day,14,144,0.23,2.35,2.12,90.2,Back-on-Track 2022,2026-03-22,0.00297,0.048559500000000005,2.3014405,11.1
