route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,train_gco2_pkm_ademe,train_co2_kg_ademe,co2_savings_kg_ademe,rail_modal_share_pct
Hamburg-Altona → Berlin Gesundbrunnen,Hamburg Altona,Berlin Gesundbrunnen,day,Hamburg Altona → Berlin Gesundbrunnen,DE,DE,256.35,DB,day,14,144,3.59,36.91,33.32,90.3,Back-on-Track 2022,2026-03-22,0.014,3.5889,33.321099999999994,9.9
Hannover Hbf → Berlin Gesundbrunnen,Hannover Hbf,Berlin Gesundbrunnen,night,Hannover → Berlin Gesundbrunnen,DE,DE,247.83,DB,night,14,144,3.47,35.69,32.22,90.3,Back-on-Track 2022,2026-03-22,0.014,3.4696200000000004,32.22038,9.9
Koblenz Hbf → Berlin Gesundbrunnen,Koblenz Hbf,Berlin Gesundbrunnen,night,Koblenz → Berlin Gesundbrunnen,DE,DE,470.2,DB,night,14,144,6.58,67.71,61.13,90.3,Back-on-Track 2022,2026-03-22,0.014,6.5828,61.127199999999995,9.9
Berlin Gesundbrunnen → Köln Hbf,Berlin Gesundbrunnen,Koln Hbf,night,Berlin Gesundbrunnen → Koln,DE,DE,477.12,DB,night,14,144,6.68,68.71,62.03,90.3,Back-on-Track 2022,2026-03-22,0.014,6.67968,62.030319999999996,9.9
Köln/Bonn Flughafen → Berlin Gesundbrunnen,Koln Bonn Flughafen,Berlin Gesundbrunnen,day,Koln Bonn Flughafen → Berlin Gesundbrunnen,DE,DE,469.94,DB,day,14,144,6.58,67.67,61.09,90.3,Back-on-Track 2022,2026-03-22,0.014,6.57916,61.09084,9.9
Berlin Gesundbrunnen → Mönchengladbach Hbf,Berlin Gesundbrunnen,Monchengladbach Hbf,day,Berlin Gesundbrunnen → Monchengladbach,DE,DE,499.54,DB,day,14,144,6.99,71.93,64.94,90.3,Back-on-Track 2022,2026-03-22,0.014,6.99356,64.93644,9.9
München Hbf → Berlin Gesundbrunnen,Munchen Hbf,Berlin Gesundbrunnen,night,Munchen → Berlin Gesundbrunnen,DE,DE,507.09,DB,night,14,144,7.1,73.02,65.92,90.3,Back-on-Track 2022,2026-03-22,0.014,7.09926,65.92074,9.9
ICE 14,Munster Westf Hbf,Berlin Gesundbrunnen,day,Munster Westf → Berlin Gesundbrunnen,DE,DE,397.13,DB,day,14,144,5.56,57.19,51.63,90.3,Back-on-Track 2022,2026-03-22,0.014,5.55982,51.630179999999996,9.9
Berlin Gesundbrunnen → Nürnberg Hbf,Berlin Gesundbrunnen,Nurnberg Hbf,night,Berlin Gesundbrunnen → Nurnberg,DE,DE,380.88,DB,night,14,144,5.33,54.85,49.52,90.3,Back-on-Track 2022,2026-03-22,0.014,5.33232,49.51768,9.9
Oldenburg(Oldb) → Berlin Gesundbrunnen,Oldenburg Oldb,Berlin Gesundbrunnen,night,Oldenburg Oldb → Berlin Gesundbrunnen,DE,DE,353.09,DB,night,14,144,4.94,50.84,45.9,90.3,Back-on-Track 2022,2026-03-22,0.014,4.9432599999999995,45.89674,9.9
